student_id,subject_id,exam_id,class_score,exam_score,grade,remarks
2025001,1,1,22.67,69.62,A,Excellent
2025001,2,1,26.14,62.79,B+,Very Good
2025001,3,1,21.49,68.97,A,Excellent
2025001,4,1,24.38,69.98,A,Excellent
2025001,5,1,20.37,47.34,C,Satisfactory
2025001,6,1,18.82,52.3,B,Good
2025001,7,1,29.55,49.59,B,Good
2025001,8,1,28.06,51.7,B,Good
2025002,1,1,24.25,61.34,B+,Very Good
2025002,2,1,18.59,45.49,C,Satisfactory
2025002,3,1,25.18,51.16,B,Good
2025002,4,1,29.81,60.36,A,Excellent
2025002,5,1,28.27,49.55,B,Good
2025002,6,1,28.79,46.71,B,Good
2025002,7,1,23.95,60.33,B+,Very Good
2025002,8,1,18.42,49.7,C,Satisfactory
2025003,1,1,23.18,65.18,B+,Very Good
2025003,2,1,22.35,48.88,B,Good
2025003,3,1,22.82,46.53,C,Satisfactory
2025003,4,1,21.69,58.06,B,Good
2025003,5,1,21.96,68.62,A,Excellent
2025003,6,1,29.86,51.26,B+,Very Good
2025003,7,1,28.22,58.72,B+,Very Good
2025003,8,1,18.48,68.52,B+,Very Good
2025004,1,1,25.87,66.8,A,Excellent
2025004,2,1,28.91,52.64,B+,Very Good
2025004,3,1,26.4,65.02,A,Excellent
2025004,4,1,28.36,65.68,A,Excellent
2025004,5,1,22.31,51.16,B,Good
2025004,6,1,24.1,66.15,A,Excellent
2025004,7,1,25.21,47.09,B,Good
2025004,8,1,20.86,51.23,B,Good
2025005,1,1,21.8,50.42,B,Good
2025005,2,1,19.19,65.66,B+,Very Good
2025005,3,1,18.94,45.9,C,Satisfactory
2025005,4,1,29.25,63.62,A,Excellent
2025005,5,1,18.86,57.4,B,Good
2025005,6,1,26.73,62.04,B+,Very Good
2025005,7,1,18.65,47.38,
